MSC Cezar;Ranking R17 File;OFB;#28
13;"Edycja 11.";"Czerwiec 2019";2019-06-30;6000
---
r1_pid;r1_score;r1_loc
12197;894.9055;1
8513;735.8615;2
6658;677.9165;3
4662;667.1620;4
8979;572.6065;5
8158;512.2950;6
1661;501.6335;7
11319;498.5530;8
1318;496.4960;9
6973;474.5495;10
5176;472.0070;11
2806;459.8970;12
6706;444.7270;13
5341;444.1045;14
10085;437.5880;15
6815;401.9870;16
4250;394.1950;17
1115;388.8460;18
4740;379.5950;19
3844;369.3785;20
14728;366.9110;21
4108;365.8425;22
6909;364.3655;23
9138;359.2615;24
4451;356.5770;25
6341;349.0050;26
8203;333.4795;27
12450;329.8150;28
2121;311.4160;29
7291;307.4250;30
11550;302.7540;31
5611;302.3800;32
5056;301.3230;33
5363;300.0635;34
5111;284.9010;35
1865;284.4245;36
4922;282.2485;37
15595;280.2560;38
6540;278.3505;39
1539;277.6000;40
1347;272.2470;41
9357;270.5845;42
7242;270.2145;43
4842;263.0815;44
5374;261.1670;45
7869;257.7600;46
4535;256.6060;47
6551;255.4535;48
13438;249.5835;49
9146;239.3065;50
12154;237.2985;51
1223;234.6045;52
5574;233.8370;53
7431;233.8180;54
4762;231.8660;55
7849;228.8410;56
9755;223.3535;57
9550;217.9740;58
1726;217.0720;59
6887;215.6685;60
19120;214.6840;61
6795;212.6380;62
7809;211.8410;63
14619;208.0660;64
10370;205.3945;65
4163;204.2465;66
5670;201.2950;67
8294;200.8790;68
4665;199.6140;69
6554;197.5960;70
7811;197.0375;71
2934;194.9055;72
2966;192.0600;73
5856;191.2780;74
4111;190.3170;75
7725;188.8680;76
3960;188.8370;77
4887;183.2405;78
1138;181.7905;79
10095;180.9160;80
12320;180.6105;81
5718;179.4180;82
9549;177.4180;83
11600;174.0620;84
5423;173.6845;85
14234;173.6110;86
13709;173.1090;87
4588;171.8115;88
4022;171.3000;89
7544;170.4605;90
8769;169.5400;91
14885;165.7045;92
8549;165.6660;93
2904;165.3530;94
4699;165.0115;95
2013;161.2685;96
7796;160.8770;97
6620;160.6240;98
8312;159.7915;99
10533;156.2630;100
5084;155.7105;101
2673;155.2500;102
4198;154.4235;103
6621;153.2205;104
12999;152.6355;105
2666;152.4910;106
17167;150.3470;107
7341;146.1155;108
6963;145.4320;109
12899;144.9965;110
5520;144.1140;111
15511;143.5955;112
17161;142.2660;113
5691;141.5310;114
7827;138.9720;115
5282;137.4925;116
12123;134.9095;117
1054;134.2005;118
8485;134.1015;119
10450;133.9085;120
1206;133.7780;121
7722;132.8865;122
2827;132.7335;123
17134;132.5435;124
5624;131.1605;125
11903;130.2510;126
5464;129.7200;127
2676;129.2145;128
5400;129.0765;129
5314;128.5180;130
7603;128.0155;131
5701;127.9130;132
3978;127.3285;133
15477;126.8740;134
1749;126.8095;135
18890;126.3790;136
3633;126.0585;137
4735;125.4190;138
16645;124.9980;139
15120;124.7090;140
5310;123.4260;141
1617;122.6815;142
2501;121.8930;143
5534;121.8540;144
9643;121.6895;145
8308;121.6560;146
1220;120.8820;147
3497;120.3960;148
5059;118.2055;149
6845;117.8605;150
10534;117.6130;151
4531;117.0165;152
4212;116.1875;153
2727;113.3320;154
8434;113.3105;155
1128;113.0860;156
8978;112.7875;157
4405;112.4725;158
5730;112.1155;159
4527;111.6690;160
3847;111.5885;161
6346;111.0605;162
3345;108.9895;163
2894;108.8540;164
11296;107.0640;165
8950;106.8205;166
2495;106.3630;167
2933;106.0430;168
3266;106.0345;169
1502;105.5935;170
12362;104.5525;171
6131;103.5250;172
14783;103.4600;173
15519;103.3855;174
8117;102.8160;175
2831;102.1685;176
11471;102.0835;177
3939;102.0675;178
5069;101.5485;179
4303;101.2115;180
9822;101.0010;181
5708;100.1585;182
15621;99.6475;183
3546;99.5345;184
11769;99.2595;185
3644;98.9780;186
5568;97.9100;187
16184;97.8635;188
4906;97.0980;189
6543;96.6195;190
5386;96.5615;191
4802;96.1060;192
5352;95.5725;193
2519;95.5070;194
6542;95.2050;195
15922;95.1765;196
7025;94.8360;197
5989;93.5640;198
6689;93.4930;199
14782;93.1065;200
6923;92.9610;201
19121;92.7340;202
7190;92.6100;203
6580;92.5375;204
1840;91.6435;205
2158;91.3970;206
4242;91.3660;207
16859;91.1040;208
2460;90.9550;209
12474;90.5585;210
18197;90.1580;211
6382;89.0670;212
16875;88.7085;213
1781;88.0775;214
11809;87.6070;215
5454;86.1465;216
1208;86.0460;217
6830;85.8920;218
6812;85.7090;219
3920;85.5265;220
3423;85.2445;221
3787;84.5075;222
7818;83.9935;223
17298;83.9885;224
5523;83.0510;225
1739;82.9880;226
6336;82.5770;227
18128;81.7540;228
5739;81.7400;229
12129;81.7215;230
7044;81.4550;231
5353;81.4085;232
6954;81.3430;233
5446;80.6985;234
2671;80.2885;235
6751;80.2840;236
2497;79.6465;237
13411;79.4095;238
3523;79.1205;239
6526;78.9380;240
4602;78.7010;241
7854;78.4085;242
3496;78.3150;243
18252;77.8845;244
2698;77.5660;245
1171;77.3550;246
2846;77.3015;247
5830;77.1080;248
9418;76.9865;249
4109;76.4355;250
10721;76.2050;251
4431;76.1000;252
16183;76.0905;253
3454;75.4505;254
4563;75.2350;255
4430;75.2335;256
7596;75.0170;257
5378;74.9665;258
1831;74.9135;259
6801;74.6000;260
5505;74.4025;261
6800;73.5595;262
2807;72.9525;263
5264;72.5730;264
4852;72.2725;265
13412;71.8455;266
10563;71.5360;267
3293;71.0975;268
7617;71.0045;269
4360;70.9315;270
6994;70.0685;271
7246;69.8470;272
1397;69.5575;273
8593;69.4590;274
7215;69.1920;275
4682;68.6525;276
1272;68.2745;277
2804;68.1930;278
2977;67.7910;279
9568;67.6135;280
2809;67.6045;281
6648;67.5710;282
10117;67.2755;283
6629;66.7925;284
6129;66.6240;285
6915;66.4850;286
7475;66.4585;287
8195;66.4080;288
4751;66.1585;289
3815;65.9180;290
1288;65.8530;291
6873;65.8220;292
11428;65.6680;293
6765;65.6330;294
2703;65.6040;295
2515;65.4560;296
4593;64.8830;297
1945;64.3585;298
5023;64.3555;299
4547;64.2450;300
7405;64.2310;301
1291;63.9760;302
3184;63.8930;303
4347;63.7300;304
15976;63.2845;305
13364;63.1005;306
1433;63.0795;307
8283;62.9605;308
6714;62.8490;309
10209;62.7005;310
10793;62.6295;311
7114;62.3750;312
7563;62.1155;313
2642;62.0470;314
7271;62.0410;315
3696;61.8585;316
