MSC Cezar;Ranking R17 File;OFB;#28
20;"Edycja Nowy Rok 2022";"Grudzieñ 2021";2021-12-31;6000
---
r1_pid;r1_score;r1_loc
6658;790.8850;1
12197;777.9505;2
8513;755.1940;3
4662;745.1925;4
5341;564.0505;5
8979;551.1745;6
5176;545.0740;7
1318;531.9255;8
6973;490.5330;9
1661;489.0785;10
6341;486.7335;11
6706;483.9350;12
11319;480.7475;13
2806;466.2730;14
6815;456.4135;15
11550;445.5065;16
8158;427.4455;17
4740;423.5495;18
6540;423.4285;19
7291;414.8595;20
9138;399.9290;21
14728;396.2670;22
6909;390.7575;23
1115;388.9250;24
4250;382.3425;25
12154;368.6715;26
4108;356.1230;27
10085;339.9775;28
4451;331.8045;29
4111;331.4465;30
9146;329.6255;31
4762;328.2485;32
5363;322.2345;33
15595;318.1575;34
5611;316.0390;35
1539;310.4465;36
12450;310.1745;37
13438;304.5450;38
8203;302.2300;39
1865;299.0925;40
4842;295.7690;41
7869;293.1065;42
9357;290.5965;43
5056;288.4625;44
9755;287.2425;45
6887;275.0285;46
7809;265.1560;47
7242;264.6660;48
7849;264.4860;49
4163;263.1810;50
14783;258.6330;51
4535;256.3130;52
10370;256.0760;53
14619;254.0825;54
2121;249.8970;55
2934;248.2970;56
1223;246.1730;57
6554;241.3145;58
7431;239.7815;59
5423;239.7495;60
8294;238.0850;61
5111;237.1615;62
4922;235.6740;63
1726;234.9300;64
12320;230.9740;65
1347;229.2625;66
6551;228.8220;67
6795;222.6295;68
4198;221.8870;69
5670;219.6995;70
2966;218.6165;71
6963;216.8810;72
13709;215.6995;73
5574;211.9390;74
5856;206.9910;75
5374;206.4590;76
14782;206.3090;77
4665;205.5475;78
6620;205.3755;79
17167;201.3920;80
6621;199.9900;81
15511;199.8890;82
4699;197.3875;83
3960;195.5815;84
5520;194.8760;85
7544;194.2305;86
9550;193.9895;87
14885;191.8005;88
2904;191.4350;89
19120;191.2355;90
8549;189.9875;91
12999;189.8065;92
5310;187.0990;93
10450;186.0005;94
4022;181.9240;95
4405;181.3945;96
7725;180.3525;97
7811;179.0285;98
17161;178.2795;99
10533;174.3225;100
5718;173.2405;101
3844;173.2095;102
4588;172.2650;103
4887;171.2800;104
4212;170.8400;105
9643;170.2690;106
10095;169.8895;107
15477;169.5180;108
11600;168.4175;109
4735;165.6375;110
5464;164.2640;111
11903;161.8585;112
1138;161.6010;113
8769;160.6445;114
12899;159.6365;115
2827;158.8900;116
1054;155.0095;117
8312;152.5545;118
5084;152.2890;119
6336;152.2015;120
7827;150.1520;121
7722;149.2590;122
6751;148.3950;123
12123;147.8155;124
18890;146.7775;125
11296;146.3330;126
5400;146.1555;127
7341;146.0805;128
2666;144.7815;129
5314;144.5260;130
16645;144.0425;131
2673;142.7820;132
2676;141.9250;133
7603;141.3115;134
1617;140.1515;135
15519;139.2145;136
5691;137.9045;137
14234;136.9870;138
3184;135.9545;139
4431;135.4995;140
4303;135.1975;141
8485;135.0910;142
8308;134.8970;143
3978;133.7780;144
2013;133.7565;145
5282;133.0080;146
9549;132.8540;147
15621;131.6945;148
1749;130.4915;149
8950;127.6640;150
17721;127.0080;151
3939;126.4560;152
2894;125.1720;153
15120;124.9565;154
3345;124.8810;155
4242;124.6845;156
3644;124.2920;157
6382;122.8630;158
3633;120.8995;159
5059;120.6950;160
1739;120.5025;161
6131;120.3465;162
3496;119.6180;163
1220;117.4545;164
4563;117.2800;165
5534;116.5185;166
3546;116.0735;167
2519;115.9635;168
8978;115.4195;169
2831;115.3765;170
2698;115.3625;171
6845;114.1230;172
1206;113.9440;173
5568;113.3020;174
5624;113.1565;175
5708;112.7585;176
16184;111.2905;177
2727;111.2240;178
3293;111.0460;179
18128;111.0000;180
4602;109.8545;181
12474;109.3810;182
3497;108.9665;183
3549;108.6015;184
16875;108.4700;185
17298;108.2320;186
19121;108.0405;187
18252;107.2690;188
2495;107.1575;189
8434;106.9980;190
5989;106.6285;191
4531;105.5840;192
4353;104.7890;193
3206;104.2400;194
3920;104.1400;195
5352;103.8575;196
14420;103.5600;197
1345;103.2885;198
7796;102.7340;199
10117;101.6385;200
1128;100.7220;201
18257;100.5050;202
5859;100.2395;203
9822;99.8365;204
13412;99.5315;205
10209;98.3305;206
4707;98.0165;207
5386;97.3180;208
1272;96.7545;209
1781;96.6970;210
2644;96.6725;211
4751;96.1590;212
5523;95.6625;213
2515;95.6555;214
7190;95.4390;215
11809;95.3460;216
5446;95.3005;217
9568;95.2805;218
16859;94.7385;219
2460;94.1220;220
8283;94.0825;221
11471;94.0035;222
4906;92.9775;223
2501;91.9330;224
10721;91.3855;225
7940;90.9845;226
5353;90.8525;227
1397;90.5450;228
8195;89.8645;229
11769;89.7355;230
16898;89.5685;231
4319;89.4635;232
12129;89.0845;233
8117;88.8045;234
1208;88.6500;235
3423;88.4860;236
2703;87.9200;237
7114;87.7700;238
6543;87.4460;239
6542;87.4110;240
16183;87.1070;241
3003;87.0975;242
5701;86.9295;243
4347;86.2920;244
11934;85.5000;245
13411;85.4830;246
6580;85.0570;247
7617;84.8095;248
18256;84.1800;249
6830;84.1230;250
10534;83.9725;251
7563;83.9050;252
3434;83.6845;253
1502;83.5595;254
6346;83.4780;255
2809;82.7300;256
12127;82.6125;257
7025;82.2770;258
6923;82.0125;259
4985;81.7130;260
5730;81.6440;261
6812;81.3385;262
2497;80.3330;263
2846;80.1645;264
8593;80.0975;265
7818;79.8900;266
6801;79.7815;267
2642;79.6510;268
12575;78.8230;269
2921;78.8050;270
14286;78.7695;271
7710;78.4415;272
5264;78.4390;273
5454;78.3950;274
7044;78.3625;275
6129;78.0040;276
7729;77.3905;277
17082;77.3370;278
2158;77.1435;279
1381;77.0445;280
7526;76.9005;281
14250;76.6970;282
2489;76.4485;283
7271;76.3270;284
1291;76.3020;285
9418;76.1360;286
16315;76.0745;287
3542;76.0240;288
1705;75.7255;289
5069;75.7005;290
5023;75.4235;291
6112;75.2390;292
6648;75.0240;293
5248;74.9675;294
4109;74.7980;295
1483;74.7965;296
3064;74.7130;297
17134;73.9305;298
16317;73.2300;299
1152;72.9735;300
5822;71.9420;301
5876;71.8045;302
9424;71.7525;303
2933;71.6380;304
3454;71.6105;305
5378;70.6550;306
8945;70.6500;307
7596;70.6265;308
5505;70.5710;309
11834;70.5480;310
10105;70.4770;311
4547;69.8530;312
6716;69.8015;313
7054;69.7835;314
3096;69.6935;315
3529;69.4890;316
4360;69.2375;317
1433;69.2160;318
8182;69.0090;319
16259;68.9205;320
6598;68.9195;321
1171;68.7670;322
4430;68.7290;323
15414;68.6165;324
4682;68.3020;325
6714;68.1520;326
1643;68.0315;327
10570;67.4865;328
17299;67.0500;329
18378;67.0500;329
2671;66.8400;331
12846;66.5250;332
7854;66.1635;333
6225;65.8795;334
4802;65.8105;335
1840;65.7830;336
7815;65.7235;337
13491;65.7000;338
2114;65.5825;339
13364;65.5505;340
10472;65.3640;341
8930;65.2365;342
4852;65.1705;343
15916;65.0365;344
7794;64.4490;345
1288;64.2920;346
6765;64.2910;347
6800;63.7965;348
6165;63.4715;349
4474;63.4655;350
12362;63.2960;351
13993;63.0800;352
2468;63.0485;353
5606;62.9075;354
6116;62.6155;355
2507;62.2835;356
7939;62.2620;357
6904;62.1735;358
12272;62.0870;359
4043;62.0845;360
6128;61.8590;361
2807;61.5295;362
3020;61.3845;363
2891;61.0990;364
5830;61.0060;365
1831;60.9325;366
6915;60.9265;367
6507;60.9020;368
6873;60.8705;369
5880;60.8215;370
16829;60.8110;371
10403;60.7300;372
5732;60.4885;373
3063;60.3560;374
3881;60.2500;375
2804;59.7820;376
4949;59.6460;377
2683;59.5465;378
18760;59.2415;379
15757;59.1850;380
3696;59.1080;381
20169;59.0400;382
4509;59.0245;383
5739;58.9990;384
7475;58.6530;385
2324;58.4685;386
5213;58.4580;387
7246;58.3810;388
2990;58.2775;389
2157;58.1725;390
3775;58.1370;391
7033;57.9010;392
11928;57.8290;393
16140;57.8160;394
4015;57.7545;395
7542;57.7015;396
7215;57.6535;397
4593;57.4985;398
6758;57.4795;399
3401;57.4530;400
3455;57.1080;401
3787;56.8440;402
9491;56.7595;403
7779;56.6275;404
4077;56.5955;405
6414;56.5265;406
7370;56.4725;407
1770;55.6970;408
4412;55.6385;409
7405;55.5975;410
2757;55.4000;411
6137;55.3905;412
3029;55.3565;413
8297;55.3310;414
3523;55.2860;415
9736;55.1295;416
17361;55.0860;417
17766;55.0775;418
4399;55.0320;419
2524;54.9805;420
9228;54.9170;421
2533;54.7080;422
2888;54.7020;423
2166;54.6275;424
6522;54.4860;425
6080;54.4615;426
17384;54.3400;427
7906;54.2665;428
12018;54.2355;429
5696;54.2280;430
18032;54.1835;431
17030;54.1550;432
7891;53.7795;433
9303;53.3750;434
1224;53.1425;435
6954;52.8915;436
2977;52.8290;437
15976;52.7900;438
4696;52.6235;439
13140;52.5000;440
2116;52.4670;441
4463;52.4615;442
6147;52.3710;443
12253;52.2950;444
8119;52.2375;445
4413;51.7600;446
7221;51.7265;447
1945;51.7250;448
12006;51.6010;449
2976;51.5710;450
1299;51.4265;451
7061;51.4095;452
7984;51.3440;453
3971;51.2835;454
5615;51.0210;455
7000;50.5345;456
4191;50.5075;457
10563;50.4500;458
2174;50.2830;459
13174;50.2285;460
1032;50.1100;461
6705;50.0870;462
3104;50.0705;463
4632;49.9195;464
3815;49.8220;465
3763;49.8145;466
7642;49.7545;467
6629;49.7380;468
6994;49.7100;469
4797;49.3100;470
8929;49.1945;471
2382;49.1055;472
1189;48.7530;473
5070;48.4915;474
15802;48.2235;475
4197;48.0980;476
10938;48.0220;477
8911;47.9055;478
6672;47.8930;479
4110;47.8860;480
17935;47.7105;481
6526;47.6885;482
6370;47.6475;483
17008;47.6410;484
2663;47.5415;485
3724;47.5135;486
4435;47.5025;487
14609;47.2965;488
9594;47.2205;489
5675;47.2030;490
8859;47.1375;491
8899;47.0710;492
8288;46.9385;493
3618;46.7950;494
1713;46.7220;495
9245;46.6965;496
1286;46.6960;497
2774;46.6100;498
3512;46.5280;499
17495;46.3700;500
7099;46.3090;501
6175;46.2330;502
5403;46.1315;503
11092;46.0825;504
3841;45.9455;505
1577;45.9430;506
3992;45.9275;507
5656;45.9235;508
3970;45.8955;509
2223;45.8810;510
8341;45.6910;511
4067;45.5710;512
17675;45.3685;513
4731;45.3235;514
7346;45.3110;515
1486;45.2955;516
11800;45.2310;517
15922;45.2280;518
1599;45.1575;519
2496;45.1500;520
10793;45.0390;521
5483;44.8580;522
16699;44.7290;523
4160;44.4825;524
14965;44.4805;525
7090;44.0670;526
16456;44.0305;527
5944;43.7810;528
13060;43.6770;529
10548;43.5670;530
6539;43.5595;531
12634;43.5325;532
3562;43.4600;533
3185;43.3585;534
7782;43.3430;535
5081;43.3275;536
13028;43.2715;537
6079;43.2610;538
9562;43.1595;539
1352;43.1030;540
1297;43.0455;541
6335;43.0250;542
8793;42.9920;543
8855;42.7220;544
11591;42.7140;545
5678;42.6830;546
2631;42.6230;547
4187;42.6190;548
14882;42.5140;549
5371;42.4720;550
3909;42.4565;551
3933;42.4000;552
9355;42.3980;553
4948;42.3730;554
5431;42.3395;555
4712;42.2650;556
18812;42.2210;557
2350;42.2005;558
3820;42.1990;559
16177;42.0660;560
16208;41.9145;561
4427;41.8985;562
6895;41.8545;563
11428;41.7730;564
13139;41.7000;565
4345;41.4920;566
7052;41.4690;567
17494;41.3550;568
2131;41.3295;569
1882;41.2850;570
4363;41.2690;571
17854;41.1455;572
8078;41.1410;573
12196;40.9380;574
18197;40.8740;575
1730;40.7210;576
2672;40.6745;577
3068;40.6240;578
2580;40.4905;579
8854;40.3545;580
11899;40.3100;581
3300;40.3035;582
4365;40.2750;583
5118;40.2025;584
1250;39.8715;585
6733;39.8575;586
2820;39.7815;587
9387;39.7160;588
5079;39.6610;589
8057;39.5605;590
5797;39.5310;591
3153;39.4860;592
1590;39.4715;593
8986;39.3720;594
3232;39.3695;595
4798;39.3600;596
15032;39.2585;597
2823;39.2110;598
5221;39.1930;599
4660;39.1540;600
1437;39.1430;601
4063;39.1380;602
3714;39.1140;603
4820;39.0880;604
3821;39.0625;605
10561;39.0565;606
2597;39.0505;607
1311;39.0355;608
15153;38.9965;609
9763;38.9040;610
5654;38.8740;611
6818;38.8010;612
5156;38.6425;613
4772;38.6410;614
4686;38.4715;615
13003;38.3935;616
1826;38.2830;617
9797;38.2490;618
3027;38.2410;619
10023;38.1705;620
6877;38.0905;621
3925;38.0845;622
11198;38.0810;623
18284;37.9705;624
6090;37.9205;625
1736;37.8665;626
11191;37.8285;627
3231;37.8265;628
2424;37.8165;629
4829;37.7825;630
2784;37.7530;631
13828;37.7175;632
10809;37.6780;633
4553;37.6385;634
5544;37.6160;635
3807;37.4805;636
10045;37.3245;637
16586;37.3215;638
10479;37.2700;639
2833;37.2270;640
12854;37.1970;641
3422;37.1140;642
15023;37.0515;643
1613;36.9860;644
7543;36.9180;645
8797;36.9120;646
12983;36.8130;647
7691;36.7775;648
6876;36.7555;649
7902;36.7450;650
14157;36.7260;651
1239;36.6890;652
9903;36.6740;653
3616;36.6580;654
2928;36.4795;655
3337;36.3355;656
18648;36.3185;657
5226;36.3155;658
4161;36.3120;659
14835;36.1615;660
6348;36.1180;661
4921;36.1135;662
9607;36.0805;663
4042;35.9550;664
3621;35.8940;665
17155;35.7795;666
6921;35.7545;667
1881;35.7365;668
4095;35.6885;669
16475;35.6090;670
1578;35.5985;671
4222;35.5930;672
5210;35.5710;673
3707;35.5310;674
5307;35.4930;675
6556;35.4865;676
18785;35.4450;677
5950;35.4020;678
6121;35.3315;679
1283;35.2615;680
2143;35.1570;681
12139;34.9965;682
7871;34.9700;683
3430;34.9615;684
11813;34.9070;685
16585;34.8845;686
3532;34.8640;687
4793;34.6670;688
5202;34.5980;689
6086;34.5595;690
6101;34.3420;691
4103;34.3240;692
3374;34.2860;693
1508;34.2795;694
4157;34.2790;695
16130;34.2550;696
6356;34.2500;697
9322;34.2345;698
1727;34.2135;699
4404;34.1905;700
8450;34.1860;701
4105;34.1575;702
15352;34.0405;703
12783;33.9860;704
6355;33.8770;705
2302;33.8700;706
8271;33.8695;707
5038;33.8365;708
2723;33.7160;709
8370;33.6435;710
9785;33.5720;711
7473;33.5215;712
2087;33.4705;713
5115;33.4660;714
10056;33.4120;715
2462;33.3110;716
5932;33.2405;717
5134;33.1575;718
1427;33.1510;719
4630;33.0625;720
4732;33.0170;721
16695;32.9430;722
14789;32.9360;723
1030;32.9350;724
13899;32.9215;725
12145;32.7710;726
10794;32.7195;727
13270;32.6725;728
5242;32.6390;729
1408;32.5960;730
1912;32.5920;731
12374;32.5570;732
3347;32.4125;733
12439;32.4090;734
7572;32.3630;735
11653;32.3515;736
7053;32.3440;737
4755;32.2955;738
6014;32.2335;739
4124;32.2005;740
8166;32.1895;741
1731;32.1700;742
4261;32.1645;743
4040;32.0865;744
4396;31.8900;745
5713;31.8735;746
14714;31.7875;747
3170;31.7645;748
5672;31.7535;749
2862;31.7405;750
1711;31.7370;751
5510;31.6780;752
6338;31.6605;753
3464;31.6410;754
11595;31.5980;755
4808;31.5200;756
5893;31.4600;757
5996;31.3075;758
2812;31.2850;759
13074;31.2770;760
1772;31.2575;761
8619;31.2300;762
5049;31.2195;763
5170;31.1505;764
6822;31.1415;765
11942;31.1035;766
3006;31.0925;767
7591;31.0515;768
4490;31.0470;769
16380;31.0215;770
2954;31.0170;771
5192;30.9965;772
4618;30.9885;773
13767;30.9780;774
3822;30.7820;775
7909;30.7680;776
1807;30.7125;777
1679;30.6680;778
14845;30.6605;779
7018;30.6405;780
16187;30.5570;781
13463;30.5235;782
6707;30.5040;783
7283;30.4815;784
5405;30.4725;785
16926;30.4435;786
2794;30.4375;787
3750;30.4155;788
5142;30.3755;789
14186;30.2980;790
6703;30.2430;791
11110;30.2115;792
7928;30.2070;793
16716;30.1645;794
7614;30.0485;795
17301;29.9590;796
11423;29.9540;797
2601;29.8510;798
1019;29.8365;799
1718;29.7975;800
3785;29.7465;801
17294;29.7295;802
16000;29.7080;803
4670;29.4980;804
5315;29.3670;805
13019;29.3445;806
2913;29.3300;807
5900;29.2900;808
10687;29.1410;809
15259;29.0860;810
5545;29.0500;811
5286;28.9525;812
8565;28.9510;813
9020;28.9455;814
16070;28.9210;815
2398;28.8990;816
10898;28.8820;817
4473;28.8170;818
4848;28.7655;819
2667;28.7520;820
7975;28.7395;821
9430;28.7010;822
4519;28.6990;823
14525;28.6915;824
8903;28.6475;825
5548;28.6265;826
3780;28.6210;827
8052;28.5965;828
6813;28.5855;829
2907;28.5810;830
5845;28.5625;831
3867;28.5185;832
3387;28.4770;833
7209;28.4130;834
12927;28.3605;835
2036;28.3600;836
6549;28.3545;837
3650;28.3350;838
2650;28.2920;839
6488;28.2485;840
13616;28.2465;841
15217;28.2450;842
5017;28.2345;843
4781;28.1860;844
6746;27.9575;845
13018;27.9330;846
15715;27.8470;847
13570;27.8115;848
17724;27.7610;849
4143;27.7560;850
8026;27.7540;851
8344;27.7465;852
14043;27.7375;853
12266;27.5980;854
2365;27.5230;855
1234;27.4935;856
14688;27.4320;857
7063;27.3845;858
7065;27.3845;858
6802;27.3535;860
3103;27.3200;861
6041;27.2665;862
4876;27.2230;863
11444;27.1550;864
17046;27.1450;865
1641;27.1220;866
6661;27.0470;867
10237;26.9570;868
4402;26.9360;869
1066;26.9170;870
11573;26.9025;871
16729;26.9020;872
4494;26.8890;873
9167;26.8645;874
9818;26.8630;875
3281;26.7945;876
10148;26.7265;877
7312;26.6945;878
4621;26.6795;879
3389;26.6685;880
1744;26.5875;881
11400;26.5475;882
5508;26.4560;883
16255;26.3520;884
1137;26.3495;885
1071;26.1765;886
1910;26.1740;887
4560;26.1615;888
18319;26.1230;889
1683;26.1190;890
1587;26.0950;891
2395;26.0900;892
6697;26.0770;893
7042;25.9080;894
19705;25.9080;894
3636;25.8585;896
10012;25.8325;897
2037;25.7955;898
9192;25.7845;899
4350;25.7635;900
17545;25.7525;901
7777;25.7025;902
6591;25.6975;903
16065;25.6095;904
14481;25.5405;905
2103;25.4950;906
1597;25.4365;907
3999;25.4155;908
1195;25.3675;909
12009;25.3280;910
13065;25.2590;911
6334;25.2125;912
12680;25.2065;913
9006;25.2015;914
10385;25.1705;915
16544;25.1695;916
4424;25.1550;917
5487;25.0895;918
1677;25.0360;919
10335;25.0200;920
5680;25.0025;921
5438;24.9830;922
7687;24.9715;923
7109;24.9595;924
5097;24.9235;925
1923;24.8770;926
5329;24.8760;927
10501;24.8710;928
17539;24.8475;929
4601;24.6745;930
13886;24.6585;931
13071;24.6550;932
11293;24.5785;933
10447;24.5535;934
11104;24.5050;935
5920;24.4140;936
17513;24.4120;937
16454;24.3940;938
12012;24.3500;939
16069;24.3435;940
6562;24.3315;941
1888;24.3040;942
11789;24.2875;943
14252;24.2630;944
5318;24.2610;945
6940;24.2515;946
10870;24.2495;947
5772;24.2440;948
7690;24.2090;949
6512;24.1920;950
15988;24.1665;951
3620;24.0875;952
5030;24.0800;953
3370;24.0670;954
12229;24.0250;955
13591;23.9865;956
10709;23.9740;957
9195;23.9615;958
4165;23.9440;959
6956;23.8935;960
10191;23.8675;961
5519;23.8595;962
7613;23.8480;963
5957;23.8075;964
10043;23.7870;965
14226;23.7840;966
14060;23.7245;967
12173;23.7145;968
18260;23.6885;969
2590;23.6680;970
5918;23.6100;971
4012;23.5935;972
13904;23.5620;973
6721;23.5155;974
7500;23.4875;975
14179;23.4870;976
18354;23.4785;977
2025;23.4465;978
4097;23.4345;979
3499;23.4325;980
17493;23.4200;981
15601;23.4040;982
15744;23.3905;983
5681;23.3820;984
17984;23.3685;985
2660;23.3560;986
5108;23.3460;987
7926;23.3300;988
6186;23.3295;989
11882;23.3155;990
5988;23.2930;991
2523;23.2475;992
1147;23.2340;993
5808;23.2210;994
4035;23.1820;995
9385;23.1595;996
10444;23.1595;996
13653;23.1585;998
12503;23.1530;999
12777;23.0905;1000
17983;23.0755;1001
18166;23.0720;1002
2902;23.0070;1003
17836;22.9975;1004
18011;22.9945;1005
6030;22.9860;1006
5517;22.9800;1007
14167;22.9475;1008
16936;22.9330;1009
4329;22.9130;1010
10344;22.8825;1011
8426;22.8695;1012
6917;22.8360;1013
11656;22.8260;1014
2646;22.7300;1015
7277;22.6520;1016
8785;22.6500;1017
13622;22.6230;1018
16784;22.6220;1019
