MSC Cezar;Ranking R17 File;OFB;#28
31;"Edycja 29.";"Wrzesieñ 2024";2024-09-30;6000
---
r1_pid;r1_score;r1_loc
12197;1234.1990;1
6658;930.5450;2
4662;810.2505;3
7291;666.9010;4
8513;658.2140;5
8158;610.4295;6
14783;568.5420;7
11550;559.1205;8
5341;526.7580;9
5176;505.9020;10
1318;499.6770;11
1661;479.5080;12
6706;468.8110;13
6973;461.0675;14
6341;459.6610;15
4762;453.2365;16
14728;451.2230;17
14782;446.1995;18
8203;443.2405;19
12154;436.8030;20
6815;432.9705;21
4111;427.8605;22
2806;421.5820;23
5056;415.4475;24
23206;408.6035;25
4740;398.6895;26
6336;395.2925;27
13438;386.8220;28
5423;377.0375;29
4108;376.0945;30
8979;373.9525;31
4250;347.1610;32
5611;344.0660;33
9138;343.3095;34
11319;335.7585;35
7849;331.0040;36
12450;328.5030;37
6554;321.3735;38
1345;321.0335;39
6909;318.3440;40
10085;314.7740;41
4163;305.1030;42
21517;296.9170;43
10370;295.4700;44
9357;293.1770;45
1539;293.1320;46
6540;287.7845;47
9550;285.9525;48
15595;281.8725;49
4842;279.0670;50
12320;277.1525;51
7242;276.1660;52
1223;270.7960;53
2121;270.3285;54
6551;269.7700;55
21440;269.7230;56
21439;269.5835;57
2934;268.9030;58
7869;265.8870;59
7431;262.1685;60
6795;260.4505;61
8294;260.2125;62
13709;256.2485;63
4451;255.0800;64
12899;253.5655;65
7809;250.9480;66
10095;250.7610;67
5574;247.4520;68
1115;247.0810;69
4198;245.9095;70
8195;235.7705;71
6620;229.2070;72
6621;228.5890;73
8769;228.0590;74
1726;221.2750;75
9643;214.5190;76
12999;208.8520;77
2966;208.0410;78
4535;203.8790;79
5856;202.6815;80
9146;194.1645;81
11296;193.0105;82
4665;190.8805;83
18890;190.7465;84
7725;187.5765;85
5310;187.2245;86
4242;185.8135;87
9755;185.7885;88
1865;185.7790;89
16898;185.4575;90
5282;184.9310;91
5363;184.5775;92
14885;183.5880;93
8549;183.3825;94
4922;180.5640;95
10450;179.4900;96
3960;177.0435;97
6802;173.8510;98
3496;173.6465;99
3644;171.0545;100
10533;169.1100;101
18760;167.5680;102
5670;164.3985;103
4735;162.8025;104
5520;162.0340;105
17082;161.0995;106
1347;161.0180;107
4699;160.8930;108
4022;160.3570;109
17721;159.8395;110
11600;158.3105;111
1138;155.9460;112
9822;151.8285;113
12474;151.2860;114
18645;151.2580;115
8485;149.4635;116
7603;149.2660;117
5859;148.4420;118
3293;148.2470;119
15477;147.8110;120
17167;147.6050;121
4405;147.5360;122
8312;145.4250;123
2114;143.7245;124
4588;143.4150;125
5352;142.9665;126
14619;142.4315;127
1397;141.8405;128
4212;140.3375;129
5400;137.1265;130
5353;136.0385;131
1128;135.9095;132
14286;134.8580;133
1749;134.7915;134
8950;134.5760;135
5023;134.2960;136
1220;133.9840;137
11809;133.0670;138
15511;132.1595;139
8978;130.7985;140
2698;129.9670;141
10148;127.9815;142
5446;127.8235;143
4353;127.6640;144
7940;127.1085;145
4602;124.5010;146
5708;124.4180;147
13412;123.7295;148
2644;123.5555;149
7099;123.2520;150
19120;122.9820;151
2013;122.8070;152
6131;122.6715;153
5989;122.5300;154
2673;121.9135;155
7827;120.1275;156
18252;120.0515;157
5374;118.0560;158
5084;117.3025;159
18284;117.2745;160
12123;117.2670;161
2904;116.7505;162
7902;115.7160;163
1617;115.5620;164
5568;115.3725;165
19830;115.0525;166
6923;114.9475;167
16829;114.6215;168
2519;114.4815;169
13364;113.0685;170
17298;112.7765;171
11903;112.5160;172
4431;112.4525;173
3546;111.5175;174
16859;111.3660;175
4303;111.1295;176
3345;108.8150;177
3920;108.8115;178
5701;108.1405;179
9303;107.4010;180
3003;106.9240;181
2727;106.7605;182
1381;105.1815;183
15259;105.0740;184
4793;102.2335;185
2501;101.7060;186
7710;101.5045;187
5059;101.1600;188
7341;100.2645;189
15519;100.2575;190
17539;100.1695;191
16140;99.8670;192
8930;99.6210;193
5314;99.4400;194
17495;99.3015;195
12127;98.9150;196
19724;98.7300;197
2703;98.0330;198
4563;97.4875;199
17161;97.2590;200
5534;96.6575;201
16875;96.0750;202
6112;95.4840;203
3978;95.3020;204
5918;95.1445;205
8283;94.9835;206
8308;94.9000;207
5483;94.7270;208
16585;94.7040;209
4906;94.5175;210
15414;93.6715;211
1206;93.5005;212
4985;93.3680;213
7221;93.1405;214
17545;92.8755;215
2831;92.3395;216
14420;92.1040;217
1739;92.0725;218
2395;91.9940;219
6716;91.7560;220
7000;91.3615;221
2116;90.5905;222
4707;89.7425;223
17030;89.4245;224
3206;88.6460;225
7246;88.5550;226
7215;88.2225;227
9763;88.1225;228
6512;87.8800;229
4887;87.7205;230
3542;87.7030;231
3064;87.6720;232
5678;87.3130;233
4110;87.1495;234
