MSC Cezar;Ranking R17 File;OFB;#28
32;"Edycja 30.";"Grudzieñ 2024";2024-12-31;6000
---
r1_pid;r1_score;r1_loc
12197;1329.2205;1
6658;1031.3035;2
4662;920.0780;3
7291;819.7355;4
8158;663.3625;5
8513;613.2535;6
11550;608.6910;7
14728;606.3695;8
8203;588.3570;9
2806;571.3910;10
23206;567.3285;11
5056;554.6385;12
14783;538.1870;13
4108;521.1290;14
5176;509.7580;15
5341;497.6485;16
1318;481.3745;17
1661;479.4500;18
6973;447.1855;19
6706;446.9105;20
6341;446.0250;21
4762;440.2990;22
12450;429.8645;23
14782;422.5445;24
12154;412.5575;25
6815;405.0585;26
9138;404.6755;27
4111;403.0905;28
10085;401.6800;29
6336;392.3040;30
1345;385.0820;31
13438;379.1850;32
4740;371.2160;33
5423;355.4820;34
8979;345.4845;35
4250;333.3345;36
5611;330.6510;37
7849;327.0380;38
11319;324.6630;39
9550;313.3890;40
6554;311.1240;41
21517;309.5015;42
21440;309.4535;43
21439;309.3140;44
6909;306.2950;45
9357;288.3905;46
4163;281.4265;47
6540;279.0545;48
2121;278.1565;49
2934;276.0835;50
12320;275.3405;51
10370;273.6655;52
1223;273.3325;53
1539;268.2160;54
15595;268.1200;55
6551;267.8060;56
7869;265.8290;57
6795;264.5980;58
4842;261.7630;59
8294;253.1475;60
7242;251.9495;61
7431;248.4175;62
1115;246.2240;63
12899;244.5785;64
13709;243.7455;65
8195;242.0325;66
4198;237.7240;67
8769;236.5120;68
7809;236.1660;69
5574;234.5490;70
10095;232.4815;71
4451;229.9100;72
6620;224.4210;73
1726;224.0825;74
6621;223.8030;75
9643;213.5015;76
4535;211.1290;77
5856;208.1870;78
2966;207.5230;79
16898;200.0025;80
11296;198.6650;81
12999;198.4085;82
18890;197.0595;83
9146;195.7305;84
7725;188.0345;85
5282;183.4335;86
4665;181.2505;87
4242;180.9630;88
5310;180.7870;89
6802;180.3185;90
14885;179.7870;91
8549;179.1400;92
9755;175.4485;93
4922;174.7340;94
12474;173.8650;95
1865;173.4665;96
8312;171.0615;97
3960;170.4115;98
5363;170.0175;99
3644;167.6470;100
10450;167.0335;101
18760;165.5870;102
1347;164.3285;103
3496;164.1360;104
18645;163.7995;105
17721;160.9635;106
5670;159.9035;107
4022;157.4605;108
5520;157.1215;109
11600;157.0415;110
10533;156.7940;111
17082;155.5500;112
4735;154.8240;113
4699;153.2755;114
1138;151.9505;115
9822;148.1220;116
5352;146.7895;117
4588;146.3685;118
2114;146.1700;119
4405;146.1080;120
8485;144.7450;121
1128;141.7050;122
5859;140.9125;123
7603;139.9535;124
3293;139.5890;125
15477;139.3855;126
10148;138.3150;127
14286;136.9280;128
17167;135.8130;129
5400;135.0740;130
8978;134.6695;131
18284;134.5710;132
8950;132.6430;133
5353;132.1895;134
4212;130.5445;135
5023;130.5380;136
1397;130.4620;137
2698;130.1705;138
19830;127.1360;139
14619;126.1680;140
1220;126.1300;141
11809;125.9370;142
15511;125.4290;143
7940;125.2285;144
5446;124.3170;145
5708;124.1300;146
4353;123.7195;147
1749;122.7005;148
5701;122.3885;149
4602;121.5260;150
2673;121.0735;151
9303;120.6730;152
2013;120.4440;153
18252;120.4055;154
7099;120.2185;155
5084;118.9975;156
5989;118.3965;157
7902;118.0550;158
5374;117.9395;159
13412;117.0255;160
13364;116.7680;161
5568;116.5410;162
2644;116.1005;163
7827;115.4590;164
6923;114.1740;165
2519;113.5870;166
17298;113.1305;167
17539;112.4340;168
19120;112.2005;169
6131;112.1660;170
3546;111.2980;171
12123;110.6270;172
4793;110.5355;173
1617;110.4735;174
16859;109.5465;175
4303;109.3295;176
16829;108.7485;177
3920;108.5470;178
3345;107.8725;179
2904;107.6940;180
4431;107.0665;181
3003;106.6085;182
15259;105.3770;183
2727;102.8435;184
1381;102.4770;185
16585;102.4145;186
8308;101.7395;187
16140;101.4300;188
19724;100.6425;189
5483;100.5165;190
5059;100.1895;191
8930;99.9615;192
2501;99.8515;193
