MSC Cezar;Ranking R17 File;OFB;#28
37;"Edycja 35.";"Marzec 2026";2026-03-31;6000
---
r1_pid;r1_score;r1_loc
12197;1384.0959;1
6658;1130.1145;2
4662;1034.4760;3
7291;853.2900;4
8158;721.7665;5
14728;719.8655;6
11550;690.9360;7
2806;606.2335;8
8203;572.5670;9
5056;534.8440;10
4762;533.1645;11
23206;514.5135;12
10085;495.1470;13
5176;488.0475;14
12450;486.1195;15
4108;484.8415;16
4111;481.1500;17
14783;477.2735;18
6341;476.8395;19
1318;464.0650;20
8513;462.8125;21
1661;449.8470;22
6706;442.1520;23
6973;437.1545;24
14782;431.3670;25
13438;420.9240;26
1345;417.5260;27
9138;402.3885;28
13709;395.7230;29
12154;381.6500;30
6336;368.2030;31
6815;356.2765;32
5423;355.7750;33
4740;347.2105;34
9550;343.6855;35
5611;337.6060;36
2121;337.5135;37
2934;324.1260;38
6909;315.4755;39
4250;314.2685;40
8979;312.6130;41
8769;310.3245;42
7869;308.3440;43
9357;306.4110;44
6554;304.9830;45
19830;295.7060;46
6540;293.0360;47
7431;292.2560;48
7849;291.3600;49
8195;290.6210;50
12899;289.7020;51
1115;288.7285;52
8294;283.7640;53
6551;277.6255;54
1223;276.2220;55
11319;273.2540;56
6795;273.0240;57
12320;269.9410;58
5574;267.6755;59
15595;257.1675;60
1726;248.6775;61
18890;248.1715;62
21440;245.0355;63
21439;244.9770;64
18645;239.4580;65
4842;239.0300;66
9146;238.6555;67
4163;236.2915;68
9643;236.1325;69
10370;232.7600;70
1539;230.0095;71
6802;228.9445;72
12999;222.9640;73
16898;222.4970;74
7725;222.0610;75
21517;220.2625;76
4535;219.5490;77
10095;218.6700;78
4198;216.5285;79
4451;211.7065;80
5282;207.2740;81
6620;205.7960;82
6621;205.6160;83
4242;203.8605;84
5856;203.0240;85
7809;202.9510;86
7603;199.9765;87
1347;194.0765;88
12474;190.7535;89
11296;190.6470;90
8549;188.8315;91
14885;188.3825;92
7242;182.0895;93
2966;181.8805;94
5310;180.7100;95
8312;179.7850;96
18760;178.0615;97
11600;177.6295;98
4922;177.4660;99
2114;176.5845;100
1865;175.7975;101
17545;175.1725;102
17721;170.9000;103
3644;170.3560;104
3960;166.9315;105
3496;166.5200;106
5520;164.0260;107
14286;163.9035;108
1731;162.9495;109
5400;162.7445;110
2698;162.1400;111
5670;160.3335;112
17082;158.8410;113
4022;158.7815;114
8950;157.9565;115
17539;157.8865;116
10450;157.4285;117
12108;156.5605;118
10533;155.0580;119
5023;154.8475;120
5363;154.5200;121
4665;152.7580;122
10148;152.5655;123
8485;152.4760;124
9691;147.5815;125
8978;146.4625;126
18284;145.0760;127
9755;144.0970;128
19724;143.5030;129
9822;143.2650;130
22882;142.8495;131
5352;142.7200;132
5708;141.2740;133
1128;139.6145;134
5918;137.6530;135
4588;136.8675;136
1807;136.2780;137
15259;136.1075;138
4405;134.4115;139
1138;134.0130;140
5084;133.8140;141
2013;133.6875;142
2395;133.5440;143
4735;133.2380;144
7099;132.2990;145
2644;130.9375;146
7940;130.0825;147
7902;129.7190;148
4699;129.0875;149
4793;128.0790;150
7827;127.9365;151
5701;127.2230;152
6923;126.9955;153
3293;126.5805;154
15477;125.1535;155
20261;124.2810;156
5989;124.2370;157
9303;123.8495;158
1220;122.0685;159
5353;121.9455;160
5070;121.9130;161
1397;121.6450;162
14420;121.5310;163
3401;120.3420;164
5859;120.0830;165
4353;117.9530;166
5568;116.5985;167
16859;116.2725;168
16585;115.7275;169
1749;115.7260;170
5069;115.1870;171
17167;114.8020;172
11802;114.5750;173
3920;112.2290;174
10054;111.1400;175
2904;110.6625;176
5624;110.0495;177
4110;109.9955;178
5314;109.0240;179
17495;108.2330;180
5059;107.7205;181
17030;107.4405;182
9126;107.3550;183
13364;106.4780;184
3546;106.1600;185
23406;106.1395;186
2496;106.1010;187
5374;106.0430;188
1617;106.0300;189
3978;105.1845;190
2501;105.1765;191
5534;104.9465;192
4212;104.7900;193
15414;104.6255;194
6131;103.2695;195
3003;102.9360;196
2921;102.6385;197
19121;102.4965;198
13412;102.3510;199
16829;102.2920;200
15511;101.5645;201
8930;101.3175;202
3647;100.5865;203
2673;99.6985;204
12006;99.0780;205
5483;98.4425;206
11809;98.4240;207
20655;98.0785;208
4551;97.6405;209
2489;97.3775;210
3345;96.8930;211
2727;96.8005;212
1381;96.7190;213
4906;96.5970;214
6112;96.2150;215
3064;95.9140;216
5880;95.3385;217
4303;94.8235;218
4602;94.8225;219
13003;93.8890;220
4431;93.3200;221
12123;93.2290;222
7221;92.2235;223
16140;91.8515;224
8308;91.7350;225
7710;90.2365;226
7794;89.8215;227
6542;89.7315;228
2703;88.6870;229
4547;88.6685;230
5454;88.0630;231
11769;87.9975;232
2468;87.4990;233
6512;87.4585;234
8117;87.3535;235
9387;86.9940;236
8911;86.7585;237
4887;86.7030;238
6543;86.5050;239
2116;86.4380;240
7000;85.9715;241
4430;85.8220;242
4402;85.5905;243
6659;85.2585;244
4563;84.9840;245
20680;84.7970;246
15519;84.4995;247
12575;84.4825;248
6716;83.9900;249
7617;83.8145;250
7033;83.5530;251
23068;83.0745;252
6225;82.7425;253
16184;82.5595;254
1668;82.3325;255
3633;82.1240;256
8283;82.1225;257
14619;82.0690;258
4985;81.4585;259
5675;81.3095;260
21367;81.2365;261
5615;81.2250;262
15032;81.2215;263
5678;80.6425;264
2666;80.0615;265
11551;79.9830;266
5378;79.6125;267
4063;79.1120;268
1206;78.7475;269
4077;78.6955;270
11899;78.6925;271
8243;78.6185;272
7563;78.4975;273
2831;78.4320;274
10385;78.2440;275
8297;78.2350;276
18252;78.0810;277
3542;78.0745;278
7246;77.9365;279
2495;77.9165;280
16456;77.8415;281
7215;77.7440;282
6334;77.2765;283
6954;77.0800;284
3787;77.0725;285
20033;77.0145;286
4581;76.3445;287
17766;76.0810;288
10479;75.6810;289
6513;75.6450;290
16875;75.5830;291
4329;75.1410;292
12783;74.9090;293
16699;74.7820;294
4949;74.6690;295
4399;74.3275;296
3006;74.0140;297
6101;73.8655;298
6335;73.3740;299
3529;73.3315;300
5691;73.1750;301
10056;73.0645;302
3763;73.0545;303
11903;73.0395;304
17298;72.9810;305
4319;72.8360;306
3512;71.6610;307
2519;71.5840;308
7052;71.5835;309
1272;71.5825;310
7346;71.5630;311
13570;71.2410;312
4474;71.0575;313
6116;71.0455;314
6356;71.0455;314
2515;71.0065;316
5081;70.9385;317
17161;70.8315;318
21982;70.7625;319
3992;70.5780;320
7341;70.5520;321
10721;70.3505;322
9785;70.1715;323
7729;70.0845;324
7271;70.0450;325
5329;70.0355;326
5017;69.9475;327
16380;69.7055;328
10472;69.6985;329
20240;69.6805;330
3423;69.6090;331
20076;69.5415;332
10770;69.5050;333
19120;69.4540;334
5079;69.3940;335
16317;69.3230;336
2460;68.7880;337
3206;68.7300;338
6137;68.5820;339
10403;68.2600;340
1643;68.1995;341
5544;68.1170;342
9037;68.0375;343
24248;67.8430;344
5464;67.8220;345
6080;67.6345;346
12127;67.6340;347
6090;67.6190;348
4712;67.4775;349
8344;67.4430;350
4823;67.1815;351
3785;67.1260;352
16903;67.1175;353
23405;67.1120;354
12139;67.0145;355
2157;66.8210;356
2933;66.6535;357
23333;66.3330;358
12629;66.2170;359
5830;66.1660;360
4413;66.1615;361
14234;66.0275;362
17935;65.8245;363
17294;65.7115;364
17984;65.6655;365
11928;65.6010;366
2507;65.1630;367
1208;64.7615;368
12374;64.7035;369
13028;64.4635;370
3750;64.4000;371
12229;64.1515;372
20706;63.9905;373
6165;63.9610;374
4852;63.7245;375
2199;63.5240;376
6963;63.3730;377
3195;63.1620;378
4365;63.1325;379
10898;62.7080;380
13491;62.6545;381
19899;62.3965;382
15916;62.3490;383
6801;62.3250;384
14882;62.1640;385
19366;61.9235;386
18256;61.5360;387
4345;61.4410;388
4719;61.2615;389
9228;61.2590;390
9736;61.1285;391
3724;61.1130;392
15120;60.9840;393
5210;60.9345;394
4696;60.9205;395
2990;60.9035;396
7572;60.9015;397
6079;60.9000;398
4124;60.8920;399
5696;60.7700;400
10105;60.7155;401
7777;60.5525;402
1826;60.4390;403
18066;60.3540;404
7312;60.3165;405
11428;60.2860;406
3191;60.2420;407
3497;60.2355;408
1311;60.1905;409
5505;60.1375;410
10570;60.0715;411
9763;59.8930;412
10534;59.8455;413
4509;59.7415;414
16645;59.5700;415
5950;59.5170;416
11198;59.4340;417
3925;59.3940;418
8182;59.3835;419
6085;59.3335;420
10012;59.3295;421
8341;59.1535;422
5822;58.9915;423
18221;58.9855;424
7818;58.9795;425
9491;58.9405;426
13174;58.7455;427
13411;58.7065;428
23250;58.6770;429
5213;58.5915;430
15352;58.4205;431
8370;58.3855;432
7928;58.2540;433
8388;58.2270;434
12923;58.2185;435
17155;58.2000;436
7370;58.1315;437
9418;58.0580;438
10209;58.0140;439
8097;57.9935;440
2057;57.9255;441
12145;57.7500;442
8119;57.7305;443
14971;57.6595;444
5893;57.5580;445
5371;57.5560;446
5403;57.4810;447
16183;57.4145;448
12983;57.4075;449
4921;57.2640;450
13767;57.2605;451
4531;57.1570;452
1705;57.0290;453
1189;57.0070;454
18319;56.9965;455
16259;56.9375;456
7906;56.8405;457
6121;56.8235;458
4788;56.7005;459
16069;56.6525;460
5049;56.4695;461
12439;56.4585;462
21223;56.4115;463
2807;56.3135;464
12634;55.7985;465
6813;55.7635;466
6556;55.7610;467
2126;55.7315;468
6105;55.6760;469
5548;55.6200;470
2683;55.4260;471
1483;55.3390;472
11471;55.2835;473
5944;54.8935;474
9568;54.8930;475
10794;54.8385;476
2000;54.7540;477
4427;54.7375;478
2219;54.4590;479
6877;54.3685;480
7190;54.3615;481
17724;54.3345;482
7941;54.3050;483
21920;54.3050;483
6144;54.2485;485
22579;54.2010;486
3933;53.9290;487
6707;53.8705;488
1739;53.7275;489
7901;53.7080;490
7687;53.6040;491
2382;53.5030;492
1912;53.4645;493
3020;53.4370;494
21057;53.4135;495
1840;53.3820;496
2809;53.3680;497
4012;53.3365;498
2533;53.2565;499
1727;53.1650;500
5111;53.1390;501
9119;53.0680;502
15153;53.0015;503
7114;52.8990;504
17493;52.8885;505
7061;52.8350;506
20787;52.7460;507
2131;52.7060;508
5654;52.5015;509
4704;52.4675;510
1882;52.4080;511
1054;52.1700;512
1224;52.1485;513
1288;51.9835;514
3807;51.9060;515
4011;51.9015;516
4829;51.7900;517
6822;51.6895;518
3714;51.6265;519
17983;51.6265;519
9135;51.6235;521
5797;51.6120;522
3815;51.6020;523
4015;51.5580;524
6041;51.4560;525
3109;51.4135;526
15665;51.3230;527
2757;51.1640;528
5431;51.1305;529
11356;51.0710;530
6733;51.0470;531
20672;51.0250;532
9245;50.6770;533
6994;50.6475;534
2976;50.5750;535
1881;50.5740;536
5996;50.4600;537
